NICKstateNAME                   2007/ind/igate224.tou 20070112
TTIV --- Thavachai Tivava      136 1606 20051218
AALI --- Amirali Alimohamed     58 1605 20001110
LJEG --- Llewellin Jegels       24 1605 19980412
KLIM --- Kenneth Lim            23 1605 19990627
RRIC --- Robert Richland        16 1602 20030630
ATHO --- Abraham Thomas         38 1600 20050703
CITT THA Chollapat Itthiaree     1 1600 20070101
TBAR THA Thitipol Barameem       1 1600 20070101
PNAT THA Piyaphong Natesuwan     1 1600 20070101
WCAL THA William Caluza          1 1600 20070101
MCOR THA Malou Coronacion        1 1600 20070101
MWIW THA Maiyarit Wiwat          1 1600 20070101
RLUY THA Rebecca Luyk            1 1600 20070101
WSUK THA Worasit Suksaensam      1 1600 20070101
NJAM THA Natchanon Jamtanom      1 1600 20070101
GBUC THA Graham Buckingham       1 1600 20070101
WYEH --- Winnie Yeh             36 1599 19951026
MSUL --- Mohammad Sulaiman      22 1599 20051105
HKUL --- Harmony Kuller         15 1599 20000604
CCAR --- Charles Carneiro      211 1598 20060115
LROF --- Lynn Roff              66 1598 20041003
AJAB --- Abdul Jabbar           24 1597 20051119
TSUP --- Tanasak Supaphibunk    20 1597 20061201
AAMA --- Asanka Amarasinghe     15 1596 20030803
JHAE --- Jim Haefele            43 1594 20050603
APEA --- Angie Pearse           34 1594 20061205
MPOL --- Mauricio Polinar       23 1593 19990627
IJOS --- Ikawa Joseph           24 1591 20021020
PMIR --- Patrick Miriti         24 1591 20021020
WMAM --- Wone Mamadou          163 1589 20060609
MTEO --- Martin Teo             40 1589 20061205
EKUS --- Eric Kusimba           24 1588 20021020
LGUA --- Lee Guan Hui           20 1587 20061201
TDEA --- Teresa Dean            16 1587 20031017
CCOS --- Catherine Costello     60 1585 20051030
LDE  --- Lahiru De Silva        39 1585 20060115
PSEE --- Prashanth Seetharam    79 1584 20060115
CFER --- Cecil Fernandes       198 1583 20051119
WSAM --- W Samarasundera        18 1583 19951026
RSUD --- Raashid Sudin          15 1583 20030803
VPEN --- Vivian Penaflor        94 1582 20010517
PMAD --- Pumudu Maddewithana    15 1582 20030803
BFIL --- Ben Filio             169 1581 20060609
YEN  --- Yi En Gan              88 1580 20061205
WMAN --- Weeraya Manakit        54 1579 20060702
SAHM --- Shaikh Ahmed           77 1579 20070112
AKWH --- Akkarapol Kwhansak     27 1577 20050626
MKWA --- Mark Kwan              18 1577 20031214
MBHA --- Mangala Bhandarkar    100 1576 20040201
LSIN --- Lewis Singh            24 1576 20011216
DLOB --- Douglas Lobo          197 1572 20070112
MHEN --- Morara Henry           18 1571 20030608
OYEA --- Ong Yeam Chin          45 1569 20000528
